Length of data:  2033
CUDA is available!  Training on GPU ...
Epoch: 1 	Training Loss: 14.375620 	Validation Loss: 1.671469
Validation loss decreased          (inf --> 1.671469).  Saving model ...
Epoch: 2 	Training Loss: 1.877524 	Validation Loss: 1.141607
Validation loss decreased          (1.671469 --> 1.141607).  Saving model ...
Epoch: 3 	Training Loss: 1.577825 	Validation Loss: 1.253784
Epoch: 4 	Training Loss: 1.421375 	Validation Loss: 1.012844
Validation loss decreased          (1.141607 --> 1.012844).  Saving model ...
Epoch: 5 	Training Loss: 1.264807 	Validation Loss: 0.897906
Validation loss decreased          (1.012844 --> 0.897906).  Saving model ...
Epoch: 6 	Training Loss: 1.204020 	Validation Loss: 0.966733
Epoch: 7 	Training Loss: 1.085958 	Validation Loss: 1.080139
Epoch: 8 	Training Loss: 1.062662 	Validation Loss: 0.940719
Epoch: 9 	Training Loss: 0.983796 	Validation Loss: 0.835976
Validation loss decreased          (0.897906 --> 0.835976).  Saving model ...
Epoch: 10 	Training Loss: 0.956511 	Validation Loss: 0.881177
Epoch: 11 	Training Loss: 0.955717 	Validation Loss: 0.811448
Validation loss decreased          (0.835976 --> 0.811448).  Saving model ...
Epoch: 12 	Training Loss: 0.932371 	Validation Loss: 0.829937
Epoch: 13 	Training Loss: 0.894775 	Validation Loss: 0.772437
Validation loss decreased          (0.811448 --> 0.772437).  Saving model ...
Epoch: 14 	Training Loss: 0.878524 	Validation Loss: 0.757675
Validation loss decreased          (0.772437 --> 0.757675).  Saving model ...
Epoch: 15 	Training Loss: 0.857925 	Validation Loss: 0.751183
Validation loss decreased          (0.757675 --> 0.751183).  Saving model ...
Epoch: 16 	Training Loss: 0.858723 	Validation Loss: 0.738819
Validation loss decreased          (0.751183 --> 0.738819).  Saving model ...
Epoch: 17 	Training Loss: 0.851021 	Validation Loss: 0.756508
Epoch: 18 	Training Loss: 0.827505 	Validation Loss: 0.738517
Validation loss decreased          (0.738819 --> 0.738517).  Saving model ...
Epoch: 19 	Training Loss: 0.829602 	Validation Loss: 0.784425
Epoch: 20 	Training Loss: 0.813024 	Validation Loss: 0.741759
Epoch: 21 	Training Loss: 0.810280 	Validation Loss: 0.715570
Validation loss decreased          (0.738517 --> 0.715570).  Saving model ...
Epoch: 22 	Training Loss: 0.795332 	Validation Loss: 0.707528
Validation loss decreased          (0.715570 --> 0.707528).  Saving model ...
Epoch: 23 	Training Loss: 0.784310 	Validation Loss: 0.728116
Epoch: 24 	Training Loss: 0.788963 	Validation Loss: 0.714857
Epoch: 25 	Training Loss: 0.773754 	Validation Loss: 0.725054
Epoch: 26 	Training Loss: 0.764595 	Validation Loss: 0.697164
Validation loss decreased          (0.707528 --> 0.697164).  Saving model ...
Epoch: 27 	Training Loss: 0.759182 	Validation Loss: 0.730915
Epoch: 28 	Training Loss: 0.751702 	Validation Loss: 0.700992
Epoch: 29 	Training Loss: 0.747474 	Validation Loss: 0.713078
Epoch: 30 	Training Loss: 0.738876 	Validation Loss: 0.696715
Validation loss decreased          (0.697164 --> 0.696715).  Saving model ...
Epoch: 31 	Training Loss: 0.733937 	Validation Loss: 0.700752
Epoch: 32 	Training Loss: 0.733470 	Validation Loss: 0.721258
Epoch: 33 	Training Loss: 0.739405 	Validation Loss: 0.702553
Epoch: 34 	Training Loss: 0.725788 	Validation Loss: 0.681949
Validation loss decreased          (0.696715 --> 0.681949).  Saving model ...
Epoch: 35 	Training Loss: 0.729321 	Validation Loss: 0.702363
Epoch: 36 	Training Loss: 0.719255 	Validation Loss: 0.710915
Epoch: 37 	Training Loss: 0.730311 	Validation Loss: 0.682152
Epoch: 38 	Training Loss: 0.729740 	Validation Loss: 1.011658
Epoch: 39 	Training Loss: 0.732199 	Validation Loss: 0.709005
Epoch: 40 	Training Loss: 0.720466 	Validation Loss: 0.684083
Epoch: 41 	Training Loss: 0.705664 	Validation Loss: 0.690838
Epoch: 42 	Training Loss: 0.703711 	Validation Loss: 0.688758
Epoch: 43 	Training Loss: 0.707652 	Validation Loss: 0.678420
Validation loss decreased          (0.681949 --> 0.678420).  Saving model ...
Epoch: 44 	Training Loss: 0.703911 	Validation Loss: 0.695407
Epoch: 45 	Training Loss: 0.696054 	Validation Loss: 0.677676
Validation loss decreased          (0.678420 --> 0.677676).  Saving model ...
Epoch: 46 	Training Loss: 0.697128 	Validation Loss: 0.691406
Epoch: 47 	Training Loss: 0.696781 	Validation Loss: 0.681681
Epoch: 48 	Training Loss: 0.694513 	Validation Loss: 0.688424
Epoch: 49 	Training Loss: 0.691175 	Validation Loss: 0.681147
Epoch: 50 	Training Loss: 0.690672 	Validation Loss: 0.674709
Validation loss decreased          (0.677676 --> 0.674709).  Saving model ...
Epoch: 51 	Training Loss: 0.686042 	Validation Loss: 0.678754
Epoch: 52 	Training Loss: 0.686857 	Validation Loss: 0.679626
Epoch: 53 	Training Loss: 0.685120 	Validation Loss: 0.672548
